동호회명,시도명,시군구명,종목명,부종목명,장애유형명,운영시간내용,동호회 소개내용
노연볼스클럽,제주특별자치도,제주특별자치도 제주시,론볼,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오후 2시 30분",장애인과 비장애인이 모두 같이 론볼을 즐길 수 있는 열려있는 곳입니다.
조천만세클럽,제주특별자치도,제주특별자치도 제주시,론볼,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오후 1시",장애인과 비장애인이 모두 같이 론볼을 즐길 수 있는 열려있는 곳.
모덕장애인론볼동호회,경상남도,경상남도 진주시,론볼,,지체(척수 및 절단 및 기타)장애,"매주 월,수,금 오후1시",
창원장애인론볼동호회,경상남도,경상남도 창원시마산회원구,론볼,,지체(척수 및 절단 및 기타)장애,"매주 월,수,금 오후1시",
슬로비,서울특별시,서울특별시 송파구,론볼,,지체(척수 및 절단 및 기타)장애,"화, 목.토(11:00~16:00)","건강과 친목을 목적으로 하며 장애인 스포츠의 본이되어  사랑,비젼,꿈,행복,열정,정열이 있는 살아숨쉬는 장애인론볼의 명가 슬로비론볼클럽이 되겠습니다.  Lawn.Bowl.club수정하기"
(도비)데굴데굴론볼클럽,충청남도,충청남도 서산시,론볼,,지체(척수 및 절단 및 기타)장애,매주 목 10:00~11:30,
보훈,서울특별시,서울특별시 강동구,론볼,,지체(척수 및 절단 및 기타)장애,주중 오전10시,
송파론볼클럽,서울특별시,서울특별시 송파구,론볼,,지체(척수 및 절단 및 기타)장애,매주2회6시간,건강한 생활을 즐거운 스포츠 활동을위해 결성하였고 매일구장에나와운동합니다.
(도비) 고마나루 론볼 클럽,충청남도,충청남도 공주시,론볼,,지체(척수 및 절단 및 기타)장애,매주 목요일 10시,
소나무론볼클럽,전라남도,전라남도 영광군,론볼,,지체(척수 및 절단 및 기타)장애,매주 토요일 오후 2시,본 클럽은 영광군 장애인 생활체육클럽으로 론볼클럽입니다.
여수장애인한마음론볼클럽,전라남도,전라남도 여수시,론볼,,기타장애,매주 수 오후 2시 30분,"저희 클럽은 론볼경기장에서 맑은 햇볕과 좋은 공기를 맘껏 마시며 친목을 도모하고, 건강한 생활을 유지하고 있습니다.  더불어 장애인과 비장애인이 함께 론볼을 통해서 교류하고자 합니다.  론볼을 사랑하고 관심있는 분들의 많은 참여와 신청 바랍니다."
전남 순천시 장애인생활체육 팔마론볼클럽,전라남도,전라남도 순천시,론볼,,지체(척수 및 절단 및 기타)장애,매중 월 오전 10시30분,유일무이한 순천의 자랑 순수 아마추어 동호인입니다
2023 직지론볼클럽,충청북도,충청북도 청주시,론볼,,지체(척수 및 절단 및 기타)장애,"매주 월, 수 오후1시부터4시",청주시 직지론볼클럽은 누구나 론볼에 관심이 있고 생활체육으로 활동 할 수있는 분은 언제나   가입하여 운동 할 수 있습니다.  청주시 장애인스포츠센터 론볼 경기장은 전천후 경기장으로 환경이 운동하기 좋은 경기장 입니다.  운동 용품은 항상 준비되여 있으므로 회원으로 가입하면 론볼 공을 지급합니다.
(기금)씽씽론볼동호인클럽,충청남도,충청남도 서천군,론볼,,지체(척수 및 절단 및 기타)장애,매주 월 오후 1시 30분,충남 서천지역에 유일한 론볼클럽 입니다
울산장애인론볼동호회,울산광역시,울산광역시 남구,론볼,,지체(척수 및 절단 및 기타)장애,매주 둘째주2시,장애인과 비장애인 함께 할수있는 스포츠이며 여가활동으로 즐길수 있는 론볼입니다
팔마론볼클럽,전라남도,전라남도 순천시,론볼,기타,기타장애,"매주 수, 금 오전10시",순천시에 거주하는 장애인과 비장애인이 함께하는 론볼
(기금) 사비론볼클럽,충청남도,충청남도 부여군,론볼,,지체(척수 및 절단 및 기타)장애,매주 월 오전 9시30분,사비론볼클럽  충청남도 부여군 규암면 부여론볼장에서 운동합니다.  매주 월요일 오전 9시 30분 운동 시작하여 11시까지 진행합니다.  추가로 클럽원들끼리 약속을 하여 운동하고 있습니다.   많은 관심과 참여 바랍니다.
(도비)데굴데굴론볼클럽,충청남도,충청남도 천안시,론볼,,지체(척수 및 절단 및 기타)장애,월/수 10:00~12:00,
등대론볼클럽,부산광역시,부산광역시 동구,론볼,,지체(척수 및 절단 및 기타)장애,"매수 수, 금",장애인의 건강한 생활체육문화정착과 장애인생활체육의 활성을 통ㄴ한 전문체육인 육성  장애인의 사회성향상을 위한 사회적응능력개발  지역사회의 장애인인식개선으로 장애인의 완전한 사회참여와 완전한 사회통합을 지향
(기금) 2023 괴산군론볼클럽,충청북도,충청북도 괴산군,론볼,,지체(척수 및 절단 및 기타)장애,매주 수요일 10시,
한강론볼클럽,서울특별시,서울특별시 송파구,론볼,,지체(척수 및 절단 및 기타)장애,화.목 13:00~16:00,우리클럽은1991년 대힌민국 최초로 등록된 론볼클럽입니다.   전통의클럽안만큼 잘 훈련된선수와 지도자기 있습니다.  남녀노소 누구나 오시면 친절하게지도하고 단합된 장애인단체로.활동합니다.  운동 장비도 준비되어 있습니다.  취업도 할수있도록 도와 드립니다  운동장 도상시개방되고 있으니 언제든방문하여 주세요
2023 전북장애인생활체육 론볼동호인클럽,전라북도,전라북도 전주시,론볼,,지체(척수 및 절단 및 기타)장애,매주 수 오후 12시30분,
리더스론볼클럽,부산광역시,부산광역시 동래구,론볼,,지체(척수 및 절단 및 기타)장애,"매주 화,금요일 14:00~16:00",장애인 스포츠(동호회) 활동에 관심있으신 모든 장애인과 비장애인분들 누구나 참여할수 있도록   문을 활짝 열어놓고 항상 기다리고 있습니다.
2023 전북장애인생활체육 군산장애인론볼클럽(군산),전라북도,전라북도 군산시,론볼,,지체(척수 및 절단 및 기타)장애,매주 수요일 14:00~16:00,
(도비)2023년 지체장애인생활체육론볼클럽,충청남도,충청남도 아산시,론볼,,지체(척수 및 절단 및 기타)장애,매주 수 09:00~10:00,
(기금)2023 속초시지체장애인협회 어울림바둑클럽,강원도,강원도 속초시,바둑,,지체(척수 및 절단 및 기타)장애,"매주 수, 오후1시~15시",
어울림연수바둑클럽,인천광역시,인천광역시 연수구,바둑,기타,지체(척수 및 절단 및 기타)장애,매주 월 10:00~15:00,바둑을 통하여 지체장애인 및 비장애인들의 교류 활성화와 화합을 도모하고자 결성하였습니다.
통영시장애인바둑협회,경상남도,경상남도 통영시,바둑,,기타장애,매주 수요일 오후3시,장애인과 비장애인들이 부담 없이 만나 바둑을 통하여 서로를 이해하고 화합 할 수 있는 장소와 기회를 부여함.
천석회,인천광역시,인천광역시 남동구,바둑,,기타장애,매주 토 10시,장애인과 비장애인들이 부담없이 만나 바둑을 통하여 이해와 화합하는 기회부여
방이바둑동호회,서울특별시,서울특별시 송파구,바둑,,지체(척수 및 절단 및 기타)장애,매주 화 오후 2시,방이장애인재활복지관 회원을 중심으로 바둑을 통한 치유와 소통 및 친교를 도모하는 클럽입니다.  그동안 바둑 배움활동 및 각종 생활체육바둑대회에 활발하게 참여해 오고 있습니다.
(도비)U&I좌식배구클럽,충청남도,충청남도 당진시,배구,,기타장애,매주금요일 19시~21시,
2023년 전남 영암군 장애인생활체육 챔피온 배구클럽,전라남도,전라남도 영암군,배구,,발달(지적/자폐)장애,매주 목요일 오후4시30분,2023년 전남 영암군 장애인생활체육 챔피온 배구클럽
2023 전북장애인생활체육 좌식배구 클럽,전라북도,전라북도 고창군,배구,,기타장애,"매주 월,목 19:00~21:00",
(도비)브라더스좌식배구스포츠클럽,충청남도,충청남도 천안시,배구,,지체(척수 및 절단 및 기타)장애,매주 월 18:00 ~ 20:00,
스파이크좌식배구클럽,제주특별자치도,제주특별자치도 제주시,배구,,지체(척수 및 절단 및 기타)장애,"매주 목,토,일 오후 6시",장애인 좌식배구 저변 확대 및 장애인 건강증진에 기여하고 클럽회원간의 친목도모로 주3회 운동을 하는 클럽입니다.
(도비)2023년 미래로홍성 좌식배구동호회,충청남도,충청남도 홍성군,배구,,지체(척수 및 절단 및 기타)장애,매주 화 19:00~21:00,
목포시튼튼누리배구클럽,전라남도,전라남도 목포시,배구,,발달(지적/자폐)장애,매주 토요일 오전10시,
2023전북장애인생활체육단이와풍이좌식배구클럽,전라북도,전라북도 정읍시,배구,,지체(척수 및 절단 및 기타)장애,토 16:00~18:00,정읍시장애인좌식배구클럽입니다.
(시비)서산좌식배구클럽,충청남도,충청남도 서산시,배구,,지체(척수 및 절단 및 기타)장애,매주 일요일 9시,
(기금) 2023 홍천군장애인체육회 무궁이 좌식배구클럽,강원도,강원도 홍천군,배구,,지체(척수 및 절단 및 기타)장애,매주 토 오후1시~6시,#NAME?
어등배구클럽(여자),광주광역시,광주광역시 서구,배구,,지체(척수 및 절단 및 기타)장애,매주 목 19시,주광자  wnrhkdwk@hanmail.net  010-6509-7724
2023 전북장애인생활체육 순창군좌식배구클럽,전라북도,전라북도 순창군,배구,,지체(척수 및 절단 및 기타)장애,매주 금 19:00~21:00,
더빛날배구클럽(남자),광주광역시,광주광역시 서구,배구,,지체(척수 및 절단 및 기타)장애,매주 월 19시,오한섭 010-4617-0609  ohsebang1 @naver.com
어울림배구동호회,경상남도,경상남도 진주시,배구,,지체(척수 및 절단 및 기타)장애,매주 화요일,장애여성과 취약계층 여성들이 스포츠를 통해 건전한 교류를 통해 신체적 건강과 정신건강을 도모하고 지속적 연습과 훈련을 통해 개인의 건강을 유지하고 사회적응을  위한 기반을 구축한다.
(기금)2023 강릉시장애인배구협회 배구동호회,강원도,강원도 강릉시,배구,,지체(척수 및 절단 및 기타)장애,매주 수 오전 10시~12시,강릉시장애인체육회에서 운영하는 장애인배구동호회 입니다
좌식배구동호회,경상남도,경상남도 진주시,배구,,지체(척수 및 절단 및 기타)장애,매주 목요일,장애여성과 취약계층 여성들이 스포츠를 통해 건전한 교류를 통해 신체       적 건강과 정신건강을 도모하고 지속적 연습과 훈련을 통해 개인의 건강       을 유지하고 사회적응을  위한 기반을 구축한다.
"(도,기금)청양좌식배구스포츠클럽",충청남도,충청남도 청양군,배구,,기타장애,"매주 월, 오후 7시",
(도비)아산아랑이좌식배구스포츠클럽,충청남도,충청남도 아산시,배구,,지체(척수 및 절단 및 기타)장애,매주 목 18:00~22:00,
(도비) 2023년 예산능금좌식배구클럽,충청남도,충청남도 예산군,배구,,지체(척수 및 절단 및 기타)장애,매주 수요일 오후 7기,
부모회클럽,경기도,경기도 부천시,배드민턴,요가,발달(지적/자폐)장애,주토오후4시,
달구벌휠체어배드민턴클럽,대구광역시,대구광역시 수성구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월,수,금 13시~17시",
2023년 전남 영암군 전남장애인생활체육 소정배드민턴클럽,전라남도,전라남도 영암군,배드민턴,,발달(지적/자폐)장애,매주 월 오후4시,2023년 전남 영암군 전남장애인생활체육 소정배드민턴클럽
군포시장애인배드민턴동호회,경기도,경기도 군포시,배드민턴,,발달(지적/자폐)장애,"매주 월, 수 17시",
(기금)태로운 배드민턴 스포츠클럽,충청남도,충청남도 태안군,배드민턴,,기타장애,매주 수요일 18:00,
불암장애인배드민턴클럽,서울특별시,서울특별시 노원구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 화,수,목,토,일",항상 신나고 즐겁게 운동하는 서울의 대표 장애인배드민턴클럽 입니다.  언제든지 놀러오세요
승승장구,경상남도,경상남도 하동군,배드민턴,,발달(지적/자폐)장애,"매주 화,수 오전10시",발달장애인으로 구성된 배드민턴 클럽입니다.
사랑이톡톡배드민턴동아리,경상남도,경상남도 남해군,배드민턴,,발달(지적/자폐)장애,매주 수 오후 2시,
느티나무 배드민턴동호회,경상남도,경상남도 산청군,배드민턴,,발달(지적/자폐)장애,매주 목 오후 3시,느티나무 배드민턴 동호회는  장애인 배드민턴 클럽입니다.  산청체육센터에서 매주 목요일에 프로그램을 진행합니다.  배드민턴을 통한 회원간의 친선도모 및 상호 협력 교류에 많은 도움을 줍니다.
YJ한마음배드민턴클럽,경기도,경기도 양주시,배드민턴,,비장애인,매주월.수오후2시-4시,즐겁게살자
2023 전북장애인생활체육 배드민턴클럽(부안군),전라북도,전라북도 부안군,배드민턴,,기타장애,"매주 월,목 14시 ~ 16시",
양주시 폴라리스 클럽,경기도,경기도 양주시,배드민턴,,비장애인,매주 월요일 14~16시,장애인과 비장애인의 행복한 나날들
화성시나래울장애인배드민턴클럽,경기도,경기도 화성시,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 목, 토, 일","화성, 수원 지역 어울림 클럽"
효민클럽,부산광역시,부산광역시 부산진구,배드민턴,,발달(지적/자폐)장애,"매주 월, 수 19시",비장애인과 장애우들이 함께 배드민턴을 배우고 게임을 하면서   건강증진에 도움을 주는 배드민턴클럽
프런티어배드민턴클럽,광주광역시,광주광역시 북구,배드민턴,,지체(척수 및 절단 및 기타)장애,매주.월.수.금.토19시~22시,장애인과 비 장애인들이 함께 운동하는 클럽입니다
(지방비)동강달구지배드민턴동호인클럽,강원도,강원도 영월군,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 오후3시30분,"동강달구지배드민턴클럽은 어울림클럽으로  지체,청각,지적,비장애인으로 구성되었으며,  행사가 없는 한 매일 운동을 하고있습니다."
2023 전북장애인생활체육 춘향배드민턴클럽(남원),전라북도,전라북도 남원시,배드민턴,,기타장애,매주 월수금 오후1시,
광주린장애인배드민턴클럽,경기도,경기도 광주시,배드민턴,,기타장애,"매주 화,목 5시",장애인과 비장애인의 건강증진 및 건전한 여가생활 보장 목적으로 결성된 함께 어울리는 이웃같은 클럽입니다.
페가수스,제주특별자치도,제주특별자치도 서귀포시,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오후 6시",
올레클럽,제주특별자치도,제주특별자치도 제주시,배드민턴,,지체(척수 및 절단 및 기타)장애,매주1회 12~1시30,
효민클럽,부산광역시,부산광역시 부산진구,배드민턴,,발달(지적/자폐)장애,"매주 월, 수 19시",지적장애인과 비장애인이 어우러서 배드민턴을 배우고 게임을 하면서 친목 쌓고   사회성을 배우는 장애인배드민턴클럽
2023 전북장애인생활체육 군산새만금해오름셔틀콜클럽(군산),전라북도,전라북도 군산시,배드민턴,,발달(지적/자폐)장애,매주 화요일 16:00~18:00,
양주시 YJ휠 클럽,경기도,경기도 양주시,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월,수요일오후14-16시",함께하는 세상 장애인의삶의 제활과 희망을  비장애인과함께하는 배드민턴한마당
(도비)계룡시장애인 지체장애인 배드민턴클럽,충청남도,충청남도 계룡시,배드민턴,,지체(척수 및 절단 및 기타)장애,매주금 18:00~19:00,
리시브,경기도,경기도 고양시일산서구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 화, 목 19:00-21:00","리시브클럽은 일산직업능력개발원에서 직업훈련을 받는 장애인 훈련생과 교직원들로 구성된 클럽입니다.  물론 인근 고양시나 파주시에서 재가장애인들도 함께 합니다.  리시브클럽은 고양시, 파주시, 서울시 소속의 전문체육 선수들도 함께 운동을 하고 있습니다."
빛고을배드민턴클럽,광주광역시,광주광역시 광산구,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 화.목.토.19시~22시,지체.지적 장애인인들이 운동한는 클럽입니다
합천황강배드민턴,경상남도,경상남도 합천군,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 금 오후2~4까지,저희 합천군 지체장애인 황강 배드민턴 클럽은 남.녀 누구라도 어울림으로 편안하게 즐길수있는 체육 동아리 입니다.
데프콕,경상북도,경상북도 경산시,배드민턴,,청각장애,매주 목 오후 7시,
울타리배드민턴 클럽,대구광역시,대구광역시 수성구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 금, 13시",
(도비)2023년 한우리배드민턴스포츠클럽,충청남도,충청남도 아산시,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 금 18:00~21:00,
(도비)2023년 스마일배드민턴 동호인클럽,충청남도,충청남도 아산시,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 수,목 14:00~17:00",
위드휠클럽,대구광역시,대구광역시 수성구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 화,목 오후7시~10시","대구지역 휠체어, 스탠딩 배드민턴 직장인 클럽입니다  운동시간은 19:00~22:000 입니다"
달구벌스탠딩배드민턴클럽,대구광역시,대구광역시 달서구,배드민턴,,뇌병변장애,"매주 월,수,금 오후14시~17시까지",저희 클럽은 장애인과 일반인 서로 어울려 즐기는 어울림 스포츠 클럽으로 장애인 회원의 건강 증진을 목적으로 하고  있습니다.
부산왑스장애인배드민턴클럽,부산광역시,부산광역시 사상구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월, 수, 금 오후 6시","저희 클럽은 사상구청소년수련관에서 매주 월,수,금요일 오후6시부터 오후9시까지 운동을 하고 있습니다."
혜성배드민턴클럽,대구광역시,대구광역시 달서구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 화, 금 오후 7시","본 클럽은 휠체어 배드민턴종목과 스탠딩종목(지적, 청각, 비장애인)의 동호인들이 함께하는 어울림클럽으로   배드민턴을 통해 신체적, 정신적으로 건강한 삶을 추구한다.   대구광역시 달구벌종합스포츠센터 2층 체육관이 직장인을 위해 매주 화, 금 오후7시~9시까지 저녁반으로 운영된다."
양지장애인배드민턴클럽,경기도,경기도 성남시수정구,배드민턴,,기타장애,매주목요일 오후15시~17시,"장애인배드민턴운동으로 체력을 향상케 하며, 장애인의 건강증진 및 건전한 여가생활 보장을 목적으로 하며, 함께 어울려 운동하면성 단체생활도 배울수 있음"
태양배드민턴클럽,대구광역시,대구광역시 수성구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 수 오후7시,토 오후2시","태양 배드민턴클럽은 스탠딩 배드민턴클럽으로 장애인11명,비장애인 4명으로  15명으로 구성되어 있으며   대구 장애인종합복지관 2층체육관에서 매주 수,토 2회 운동하고 있습니다.  장애인에게 생활 체육을 통하여 건강생활에 필요한 능력을 향상시키고 평소 생활에서   최선의 건강상태를 유지할 수 있도록 하며,장애,비장애와의 어울림 통하여   장애인의 인식개선 하는데 목표를 둡니다."
라라클럽,부산광역시,부산광역시 강서구,배드민턴,,발달(지적/자폐)장애,매주 화 수 목 오후4시,사회성과 어울림을 할수 있는 공간으로 다양한 아이들과 선생님들이 함께 칠수 있는 클럽입니다
동글배드민턴클럽,부산광역시,부산광역시 영도구,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 수 오후 3시,
강북장애인배드민턴클럽,서울특별시,서울특별시 강북구,배드민턴,,지체(척수 및 절단 및 기타)장애,화.목.토.  18시 ~ 21시 30분,강북장애인배드민턴클럽은 장애인들과 비장애인들이 함께 어울려 운동하는 곳입니다.
(도비) 2023년 콕콕 배드민턴클럽,충청남도,충청남도 예산군,배드민턴,,발달(지적/자폐)장애,매주 월요일 10시,
영스타배드민턴 클럽,경기도,경기도 고양시덕양구,배드민턴,,발달(지적/자폐)장애,월.수 오후14:00~16:00,지적장애인으로 구성되어 있으며 지적장애인들의 사회참여와 신체활동에 최대한의 편의와 운동시간을 제공하고자  합니다.   제한된 장소와 시간으로 열악한 조건이지만 즐거운 운동시간이 되도록 노력합니다.
즐콕,부산광역시,부산광역시 강서구,배드민턴,,발달(지적/자폐)장애,"월,수,금 오후5시",우리 즐콕클럽은 배드민턴 활동을 통해 장애를 극복하고  자신감을 갖고 긍정적인 사고와 역동적인 움직임으로  사회 구성원으로써 역량을 강화 시키고 개인의 행복과 건강 더 나아가   장애인과 그 가족의 행복한 삶에 이바지한다
블루윙배드민턴클럽,경기도,경기도 의정부시,배드민턴,,지체(척수 및 절단 및 기타)장애,월.수.금.토.,
화목,인천광역시,인천광역시 연수구,배드민턴,,지체(척수 및 절단 및 기타)장애,토요일14시 18시,비장애인과 함깨하는 재미와 건강을 동시에 증진하는 클럽 입니다.
재미나는배드민턴클럽,대구광역시,대구광역시 달서구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월,수(금) 오후 2시",좌식 배드민턴
(시비)서산중앙배드민턴클럽,충청남도,충청남도 서산시,배드민턴,,발달(지적/자폐)장애,매주 수요일 10시30분,
(도비) 2023 제천시 JCRC 배드민턴 클럽,충청북도,충청북도 제천시,배드민턴,,발달(지적/자폐)장애,매주 금요일 오전 10시,안녕하세요. 제천시 장애인 배드민턴 클럽입니다.   많은 관심과 참여 부탁드립니다.
라온클럽,부산광역시,부산광역시 해운대구,배드민턴,,발달(지적/자폐)장애,매주 월요일 금요일 오후4부터6시까지,사회성과 어울림을 할수 있는 공간으로 다양한 아이들과 선생님들이 함께 칠수 있는 클럽입니다
한마음배드민턴클럽,부산광역시,부산광역시 해운대구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 화,목,토 12시",지체장애인 배드민턴 생활체육 활동으로 자립생활과 건강을 지켜주새요.
의성농아인협회,경상북도,경상북도 의성군,배드민턴,,청각장애,매주 화요일 오전10시,의성지역 농아인들의 생활체육 위한 모임
(도비)2023년 JS배드민턴클럽,충청남도,충청남도 보령시,배드민턴,,발달(지적/자폐)장애,매주 금 오후15시30분,
날개 배드민턴 클럽,경기도,경기도 파주시,배드민턴,,발달(지적/자폐)장애,매주 월요일 오후 5:30~7:30,파주시 장애인 배드민턴 협회에서 주관하는 클럽으로  발달장애 학생을 대상으로 방과후 활동하는 클럽입니다.  외곽지역 이지만 많은 학생들이 참여 할수 있기를 바랍니다.
(도비) 2023 배드민턴클럽,충청북도,충청북도 청주시,배드민턴,,발달(지적/자폐)장애,매주화오후6시~7시30분,
완도장애인배드민턴클럽,전라남도,전라남도 완도군,배드민턴,,기타장애,매주 목요일 오후 19:30,"안녕하십니까! 완도장애인배드민턴클럽 회장 황경우입니다. 배드민턴 장애인생활체육을 통해 참여자의 건강을 증진함으로써 생활의 활력을 회복하여 아름다운 삶을 영위하기 위하여 클럽을 운영하고 있사오니, 장애인 누구나 참여가 가능하오니 많은 참여 부탁드립니다."
광양시장애인배드민턴클럽,전라남도,전라남도 광양시,배드민턴,,발달(지적/자폐)장애,매주 금 오후2-4시,광양시장애인배드민턴클럽(서산나래)
동두천시햇살클럽,경기도,경기도 동두천시,배드민턴,기타,발달(지적/자폐)장애,매주 월~목 12:00~16:30,2015년 8월달 15명으로  햇살클럽 이름으로 창단하여 현재 45명회원 입니다  발달장애인분들의 건강을 위하여 열심히 운동한 결과 몸도 마음도 건강해져서 더욱더 열심히 즐겁게 보람차게 운동하는 햇살클럽입니다
살곶이장애인배드민턴,서울특별시,서울특별시 성동구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월, 수, 금 오후 7시~9시50분",※ 살곶이장애인배민턴 설립목적  ○ 회원들의 건강증진과 건전한 여가생활 도모  ○ 운동을 통한 심신 및 체력단련  ○ 장애인 생활체육발전 및 활성화  ○ 우수한 선수를 발굴 양성  장애인들의 운동을 위해 만든 클럽입니다.   많은 참여 바랍니다.
여수시장애인배드민턴함꾸네클럽,전라남도,전라남도 여수시,배드민턴,,발달(지적/자폐)장애,"매주 월, 오후7~9시",장애인과 비장애인의 단합과 화합의 장이 되고 장애인의 배드민턴 운동을 통하여 여가생활을 즐길수 있으며 장애인의 재활의지와 건강을 지킬수 있도록 매주 월수금 운동을 하고 있습니다.
Cock 사랑,대전광역시,대전광역시 대덕구,배드민턴,,발달(지적/자폐)장애,"매주 화, 목 오후 4시~6시","지적,발달 장애인의 체력증진 및 생활체육 활성화를 위한 클럽 입니다."
(도비) 2023 날아라셔틀콕 동호인클럽,충청북도,충청북도 청주시,배드민턴,,기타장애,매주 화요일 오후3시,우리들정신건강센터 2023년 날아라셔틀콕 동호인클럽 입니다.
중앙배드민턴,전라남도,전라남도 목포시,배드민턴,,기타장애,"매주 화,  오후 2시",배드민턴을 통해 단절 되어 있는 사회에 참여와 장애 극복의 의지를 높여 건전한 여가 활동 및   기회를 제공하는 클럽 입니다.
다솜배드민턴동호회,세종특별자치시,세종특별자치시 ,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 월 수 18:00~20:00,장애인과 비장애인 어울림 클럽입니다.
아이비전통합배드민턴클럽,경기도,경기도 용인시수지구,배드민턴,,발달(지적/자폐)장애,매주토요일 오후 10시30분/매주 월요일 15시00분,
순천시장애인배드민턴,전라남도,전라남도 순천시,배드민턴,,비장애인,매주 월 오후2시-4시,장애인배드민턴클럽은 장애인들의 건강과 사회화합. 지역내 장애인 배드민턴 활성화를 도모하는 클럽입니다.
블랙이글,경기도,경기도 포천시,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 월 ~ 금 (13:00 ~ 17:30),
양주담장애인배드민턴클럽,경기도,경기도 양주시,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 월~금  13:30~17:30,즐거운 운동 클럽  행복한운동 클럽
(시비)휠사모클럽,충청남도,충청남도 천안시,배드민턴,,지체(척수 및 절단 및 기타)장애,일 14:00~18:00,
(도비)드리븐배드민턴스포츠클럽,충청남도,충청남도 천안시,배드민턴,,기타장애,매주 목 18:00~20:00,
동행,경상남도,경상남도 김해시,배드민턴,,비장애인,매주 목 13시,
(도비)좌식민턴사랑클럽,충청남도,충청남도 천안시,배드민턴,,지체(척수 및 절단 및 기타)장애,토 16:00~19:0,
(기금) 2023 증평배드민턴클럽,충청북도,충청북도 증평군,배드민턴,,기타장애,"매주 수, 오후 13시30분~14시 10분",
보물섬 배드민턴단,경상남도,경상남도 남해군,배드민턴,,발달(지적/자폐)장애,매주 화요일 14시-16시,경상남도 남해군 지적장애인 배드민턴단 입니다
거창한배드민턴,경상남도,경상남도 거창군,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월,수 오전 10시",
목포중증장애인배드민턴클럽,전라남도,전라남도 목포시,배드민턴,,기타장애,"매주 월,수 3시~5시",
어울림 클럽,경기도,경기도 시흥시,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월,목 오후4시~6시","배드민턴을 좋아하는 지체,청각,지적,일반인 포함한 어울림 클럽입니다. 서로의 장애를 체육 활동 속에서 이해하고 배려하면서 우리는 하나라는 개념으로 서로에게 도움이 되고자 하는 클럽입니다."
강서배드민턴동호회,서울특별시,서울특별시 강서구,배드민턴,,지체(척수 및 절단 및 기타)장애,매주금요일 14시에서17시,장애인과 비장애인 함께 어울어져 운동하는 클럽
위캔배드민턴클럽,울산광역시,울산광역시 남구,배드민턴,,발달(지적/자폐)장애,매주 토 오후 1시 ~ 4시,"발달장애청소년의 가족, 비장애청소년이 함께하는 배드민턴클럽입니다."
드림 클럽,대전광역시,대전광역시 유성구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 수 오후 6시,토 오후 1시",드림 클럽은 운동을 통해 장애인 간의 건강 증진과 비 장애인 과의 화합을 도모합니다
(기금)태안군장애인배트민턴클럽,충청남도,충청남도 태안군,배드민턴,,기타장애,매주 수요일 18:00,
(도비)2023년 미래로 배드민턴 클럽,충청남도,충청남도 홍성군,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 월,수 19시~21시",
부모회 배드민턴 생활체육 클럽,경기도,경기도 부천시,배드민턴,,발달(지적/자폐)장애,매주 토 오후 16시,"중고등부 성인부로 나뉘어 배드민턴 생활체육을 활성화하고자  중고등, 성인 발달장애인들로 구성되어 클럽활동을 하고 있음."
디딤돌스포츠클럽,대전광역시,대전광역시 대덕구,배드민턴,,지체(척수 및 절단 및 기타)장애,"매주 토,일 오후 1시",
토요애장애인배드민턴클럽,경상남도,경상남도 의령군,배드민턴,,지체(척수 및 절단 및 기타)장애,매주 월 오후2시,장애인의 건강증진 및 상호 교류 활동 증대를 통해 활성화 증대 및 지역내 장애인 배드민턴 선수 발굴 및 육성.  ? 배드민턴 클럽 활성화를 위해 프로그램 진행  ? 각종대회 참가  ? 지역 간 교류전을 통한 클럽 활성화
